Date,Trade_Volume,Trade_Value,Opening_Price,Highest_Price,Lowest_Price,Closing_Price,Change,Transaction
105/08/31,6171561,1540071889,249.50,251.00,247.50,249.50,0.50,4043
105/08/30,4233995,1048793236,246.50,249.50,245.50,249.00,4.50,3093
105/08/29,4237358,1033978352,245.00,245.50,242.00,244.50,1.00,2603
105/08/26,3873969,941740937,244.50,245.00,242.00,243.50,-0.50,2031
105/08/25,4833057,1174657364,242.00,244.00,241.50,244.00,3.00,2922
105/08/24,4260975,1033002200,244.00,245.50,241.00,241.00,-1.50,2501
105/08/23,3958688,965037049,242.50,245.50,242.50,242.50,0.50,2528
105/08/22,5102377,1245630734,245.00,248.00,242.00,242.00,-3.00,3439
105/08/19,5366185,1323867402,250.00,250.00,245.00,245.00,-5.00,3797
105/08/18,3926399,982658042,251.00,252.00,249.00,250.00,-0.50,2362
105/08/17,9588256,2412250358,249.50,253.50,249.00,250.50,1.00,6038
105/08/16,3814680,946979964,249.50,249.50,245.50,249.50,0.50,2588
105/08/15,2513083,625351667,250.00,250.50,247.50,249.00,,1885
105/08/12,3003935,748257815,250.00,251.00,247.50,249.00,0.50,2410
105/08/11,3901992,968266994,250.50,250.50,245.00,248.50,-1.50,2554
105/08/10,3071156,766963844,251.00,251.00,248.50,250.00,,2393
105/08/09,3956039,985974711,249.50,250.00,248.00,250.00,1.50,2848
105/08/08,5774934,1438920583,251.00,251.00,248.00,248.50,-0.50,3559
105/08/05,8370929,2057609392,242.50,249.00,242.50,249.00,6.50,5624
105/08/04,15110572,3684005689,251.00,251.00,239.50,242.50,-6.50,9036
105/08/03,5679835,1403401765,246.00,249.00,245.50,249.00,-1.00,3568
105/08/02,8945531,2230123970,249.50,251.00,247.00,250.00,1.00,5546
105/08/01,8144227,2010551091,245.50,249.50,243.50,249.00,5.50,5205
