Date,Trade_Volume,Trade_Value,Opening_Price,Highest_Price,Lowest_Price,Closing_Price,Change,Transaction
105/08/31,42461245,7408331135,176.50,177.00,174.50,176.00,1.50,6850
105/08/30,19752234,3452895298,176.00,176.50,174.00,174.50,-2.00,5559
105/08/29,16967254,2980249547,175.00,177.00,174.00,176.50,-0.50,5102
105/08/26,15804932,2788761532,175.00,177.00,175.00,177.00,,4529
105/08/25,23973648,4223271748,175.00,177.00,174.50,177.00,3.50,8613
105/08/24,12532486,2182702578,175.00,175.50,173.50,173.50,-0.50,4272
105/08/23,21467596,3742518814,174.00,175.00,173.50,174.00,1.00,6651
105/08/22,21822066,3765989158,173.00,174.00,171.50,173.00,-1.50,7785
105/08/19,23496710,4116962848,177.00,177.50,174.00,174.50,-1.50,8233
105/08/18,27899726,4897229556,176.00,176.50,175.00,176.00,-1.00,9690
105/08/17,24169622,4272164742,177.00,177.50,176.00,177.00,1.50,8245
105/08/16,34284274,6042810224,178.00,179.00,175.00,175.50,-3.50,10692
105/08/15,13660192,2438220101,178.50,179.00,177.50,179.00,1.50,4907
105/08/12,23986752,4264514880,178.50,178.50,177.00,177.50,1.00,7860
105/08/11,28216223,4982106809,177.50,178.00,175.50,176.50,-3.00,9250
105/08/10,19307662,3453612114,179.00,179.50,178.00,179.50,1.00,5979
105/08/09,16443465,2940137770,178.50,179.50,177.00,178.50,0.50,6767
105/08/08,16241757,2882438800,178.00,178.00,176.50,178.00,1.00,5032
105/08/05,25803777,4555686581,175.00,177.50,174.00,177.00,2.50,8212
105/08/04,14292159,2481942916,173.00,174.50,172.50,174.50,2.00,4503
105/08/03,21652236,3745324328,172.50,174.00,172.00,172.50,-3.50,8267
105/08/02,15366106,2707287048,177.50,177.50,175.50,176.00,-1.00,6097
105/08/01,34703892,6112481446,175.00,177.00,174.50,177.00,4.50,11713
