Date,Trade_Volume,Trade_Value,Opening_Price,Highest_Price,Lowest_Price,Closing_Price,Change,Transaction
105/08/31,13095497,1094367345,83.90,85.00,82.10,85.00,0.60,7309
105/08/30,11598333,976933396,83.90,85.20,83.50,84.40,0.90,6611
105/08/29,18153505,1536411437,87.60,87.60,83.50,83.50,-4.20,10184
105/08/26,9934249,868262984,86.50,88.20,86.50,87.70,0.60,5373
105/08/25,18238340,1594141861,87.70,89.20,86.10,87.10,-0.80,10908
105/08/24,10413799,922052758,89.80,90.30,87.60,87.90,-1.40,6103
105/08/23,15935075,1424082301,90.40,91.30,88.20,89.30,-0.90,9351
105/08/22,21540456,1970798526,96.00,96.00,90.00,90.20,-5.80,12701
105/08/19,7622903,742580844,99.60,99.60,96.00,96.00,-1.90,4630
105/08/18,5580183,548545796,98.50,99.10,97.80,97.90,-1.10,3298
105/08/17,11565245,1156377655,100.50,101.50,99.00,99.00,-0.20,5791
105/08/16,11864957,1184184043,99.50,101.00,99.10,99.20,0.80,6000
105/08/15,4919362,480500795,97.40,98.40,96.40,98.40,1.10,2829
105/08/12,5703134,558612725,98.00,99.00,97.30,97.30,,3716
105/08/11,6683026,648931810,98.20,98.40,96.00,97.30,-0.90,4146
105/08/10,7718014,760867563,99.60,99.90,97.50,98.20,-0.30,4568
105/08/09,10141618,1011854833,101.00,102.00,98.40,98.50,-2.50,5405
105/08/08,12838796,1319695896,104.00,104.50,101.00,101.00,-1.50,6357
105/08/05,37272153,3792817863,99.50,103.50,99.50,102.50,4.20,16174
105/08/04,10216120,1003022807,98.00,99.30,97.20,98.30,0.40,5269
105/08/03,18476852,1791484661,95.80,98.10,95.70,97.90,,9355
105/08/02,28050498,2760682928,95.70,99.90,95.50,97.90,2.20,14449
105/08/01,11440231,1094993491,96.40,96.40,95.20,95.70,0.60,5940
